date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:26:55	2254/2254	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Feb%202016%2010:26:57%20GMT	http://global.ahnlab.com/robots.txt		(from )
17:26:59	69953/69953	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:26:57%20GMT	http://global.ahnlab.com/site/main.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/main.html	(from )
17:27:01	282766/282766	U-----	200	untouched ('OK')	application/x-javascript	etag:%22E2PE4ukgUQP%22	http://global.ahnlab.com/js/lib/jquery/jquery-1.11.1.js	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/js/lib/jquery/jquery-1.11.1.js	(from http://global.ahnlab.com/site/main.do)
17:27:01	45047/45047	U-----	200	untouched ('OK')	application/x-javascript	etag:%22GnpiDW96BAs%22	http://global.ahnlab.com/js/lib/jquery/jquery.ui.js	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/js/lib/jquery/jquery.ui.js	(from http://global.ahnlab.com/site/main.do)
17:27:02	19941/19941	U-----	200	untouched ('OK')	application/x-javascript	etag:%226ovbYG4e9T4%22	http://global.ahnlab.com/js/common.js	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/js/common.js	(from http://global.ahnlab.com/site/main.do)
17:27:02	2610/2610	U-----	200	untouched ('OK')	application/x-javascript	etag:%225SaWnIkZAAN%22	http://global.ahnlab.com/js/jquery.js	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/js/jquery.js	(from http://global.ahnlab.com/site/main.do)
17:27:03	234/234	U-----	200	untouched ('OK')	application/x-javascript	etag:%22Dq3vd2pZl8M%22	http://global.ahnlab.com/js/site.js	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/js/site.js	(from http://global.ahnlab.com/site/main.do)
17:27:03	5480/5480	U-----	200	untouched ('OK')	application/x-javascript	etag:%229Wteth9xlUR%22	http://global.ahnlab.com/js/lib/jquery/jquery.placeholder.js	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/js/lib/jquery/jquery.placeholder.js	(from http://global.ahnlab.com/site/main.do)
17:27:04	2835/2835	U-----	200	untouched ('')	image/gif	etag:%22/N28LnxfH9Q%22	http://global.ahnlab.com/image/en/common/img_logo.gif	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/image/en/common/img_logo.gif	(from http://global.ahnlab.com/site/main.do)
17:27:09	104805/104805	U--M--	200	updated ('OK')	text/css	etag:%227X9FpxcEKOf%22	http://global.ahnlab.com/css/en/ahnlab.css	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/css/en/ahnlab.css	(from http://global.ahnlab.com/site/main.do)
17:27:13	92162/92162	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:27:07%20GMT	http://global.ahnlab.com/site/search/searchResultAll.do	E:/projects/other/ahnlab/html/ahnlab/global.ahnlab.com/site/search/searchResultAll.html	(from http://global.ahnlab.com/site/main.do)
17:27:17	56815/56815	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:27:12%20GMT	http://apac.ahnlab.com/site/main.do	E:/projects/other/ahnlab/html/ahnlab/apac.ahnlab.com/site/main.html	(from http://global.ahnlab.com/site/main.do)
17:27:23	70832/70832	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:27:17%20GMT	http://jp.ahnlab.com/site/main.do	E:/projects/other/ahnlab/html/ahnlab/jp.ahnlab.com/site/main.html	(from http://global.ahnlab.com/site/main.do)
17:27:24	64011/64011	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:27:20%20GMT	http://cn.ahnlab.com/site/main.do	E:/projects/other/ahnlab/html/ahnlab/cn.ahnlab.com/site/main.html	(from http://global.ahnlab.com/site/main.do)
17:27:25	2022/2022	---M--	200	added ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:27:26%20GMT	http://us.ahnlab.com/	E:/projects/other/ahnlab/html/ahnlab/us.ahnlab.com/index.html	(from http://global.ahnlab.com/site/main.do)
17:27:25	174417/174417	U--MC-	200	updated ('OK')	text/html	date:Fri,%2026%20Feb%202016%2010:27:10%20GMT	http://www.ahnlab.com/kr/site/main.do	E:/projects/other/ahnlab/html/ahnlab/www.ahnlab.com/kr/site/main.html	(from http://global.ahnlab.com/site/main.do)
